Date,S&P500,CAPE
01/04/1928,19.40,21.26
01/05/1928,20.00,21.83
01/06/1928,19.02,20.91
01/07/1928,19.16,21.08
01/08/1928,19.78,21.76
01/09/1928,21.17,23.00
01/10/1928,21.60,23.58
01/11/1928,23.06,25.12
01/12/1928,23.15,25.30
01/01/1929,24.86,27.08
01/02/1929,24.99,27.13
01/03/1929,25.43,27.68
01/04/1929,25.28,27.57
01/05/1929,25.66,27.70
01/06/1929,26.15,27.94
01/07/1929,28.48,29.93
01/08/1929,30.10,31.48
01/09/1929,31.30,32.56
01/10/1929,27.99,28.96
01/11/1929,20.58,21.17
01/12/1929,21.40,22.01
01/01/1930,21.71,22.31
01/02/1930,23.07,23.70
01/03/1930,23.94,24.59
01/04/1930,25.46,25.84
01/05/1930,23.94,24.31
01/06/1930,21.52,21.87
01/07/1930,21.06,21.55
01/08/1930,20.79,21.30
01/09/1930,20.78,21.07
01/10/1930,17.92,18.21
01/11/1930,16.62,16.94
01/12/1930,15.51,16.06
01/01/1931,15.98,16.71
01/02/1931,17.20,18.16
01/03/1931,17.53,18.58
01/04/1931,15.86,16.87
01/05/1931,14.33,15.40
01/06/1931,13.87,15.06
01/07/1931,14.33,15.52
01/08/1931,13.90,15.01
01/09/1931,11.83,12.82
01/10/1931,10.25,11.15
01/11/1931,10.39,11.42
01/12/1931,8.44,9.31
01/01/1932,8.30,9.31
01/02/1932,8.23,9.34
01/03/1932,8.26,9.41
01/04/1932,6.28,7.19
01/05/1932,5.51,6.39
01/06/1932,4.77,5.57
01/07/1932,5.01,5.84
01/08/1932,7.53,8.83
01/09/1932,8.26,9.76
01/10/1932,7.12,8.48
01/11/1932,7.05,8.46
01/12/1932,6.82,8.26
01/01/1933,7.09,8.73
01/02/1933,6.25,7.83
01/03/1933,6.23,7.87
01/04/1933,6.89,8.72
01/05/1933,8.87,11.25
01/06/1933,10.39,13.10
01/07/1933,11.23,13.75
01/08/1933,10.67,13.00
01/09/1933,10.58,12.92
01/10/1933,9.55,11.70
01/11/1933,9.78,12.01
01/12/1933,9.97,12.28
01/01/1934,10.54,13.03
01/02/1934,11.32,13.93
01/03/1934,10.74,13.25
01/04/1934,10.92,13.52
01/05/1934,9.81,12.18
01/06/1934,9.94,12.29
01/07/1934,9.47,11.74
01/08/1934,9.10,11.32
01/09/1934,8.88,10.91
01/10/1934,8.95,11.11
01/11/1934,9.20,11.45
01/12/1934,9.26,11.64
01/01/1935,9.26,11.50
01/02/1935,8.98,11.09
01/03/1935,8.41,10.40
01/04/1935,9.04,11.10
01/05/1935,9.75,11.99
01/06/1935,10.12,12.54
01/07/1935,10.65,13.20
01/08/1935,11.37,14.11
01/09/1935,11.61,14.42
01/10/1935,11.92,14.83
01/11/1935,13.04,16.13
01/12/1935,13.04,16.16
01/01/1936,13.76,17.09
01/02/1936,14.55,18.10
01/03/1936,14.86,18.66
01/04/1936,14.88,18.72
01/05/1936,14.09,17.75
01/06/1936,14.69,18.39
01/07/1936,15.56,19.36
01/08/1936,15.87,19.62
01/09/1936,16.05,19.86
01/10/1936,16.89,20.91
01/11/1936,17.36,21.50
01/12/1936,17.06,21.13
01/01/1937,17.59,21.62
01/02/1937,18.11,22.24
01/03/1937,18.09,22.04
01/04/1937,17.01,20.56
01/05/1937,16.25,19.47
01/06/1937,15.64,18.71
01/07/1937,16.57,19.65
01/08/1937,16.74,19.81
01/09/1937,14.37,16.85
01/10/1937,12.28,14.36
01/11/1937,11.20,13.16
01/12/1937,11.02,13.01
01/01/1938,11.31,13.51
01/02/1938,11.04,13.26
01/03/1938,10.31,12.38
01/04/1938,9.89,11.79
01/05/1938,9.98,11.99
01/06/1938,10.21,12.29
01/07/1938,12.24,14.77
01/08/1938,12.31,14.90
01/09/1938,11.75,14.28
01/10/1938,13.06,16.06
01/11/1938,13.07,16.15
01/12/1938,12.69,15.76
01/01/1939,12.50,15.60
01/02/1939,12.40,15.66
01/03/1939,12.39,15.73
01/04/1939,10.83,13.92
01/05/1939,11.23,14.50
01/06/1939,11.43,14.83
01/07/1939,11.71,15.27
01/08/1939,11.54,15.12
01/09/1939,12.77,16.45
01/10/1939,12.90,16.82
01/11/1939,12.67,16.60
01/12/1939,12.37,16.28
01/01/1940,12.30,16.38
01/02/1940,12.22,16.22
01/03/1940,12.15,16.17
01/04/1940,12.27,16.37
01/05/1940,10.58,14.14
01/06/1940,9.67,12.84
01/07/1940,9.99,13.37
01/08/1940,10.20,13.65
01/09/1940,10.63,14.21
01/10/1940,10.73,14.33
01/11/1940,10.98,14.64
01/12/1940,10.53,13.91
01/01/1941,10.55,13.90
01/02/1941,9.89,13.00
01/03/1941,9.95,12.96
01/04/1941,9.64,12.43
01/05/1941,9.43,12.04
01/06/1941,9.76,12.16
01/07/1941,10.26,12.74
01/08/1941,10.21,12.46
01/09/1941,10.24,12.28
01/10/1941,9.83,11.58
01/11/1941,9.37,10.91
01/12/1941,8.76,10.09
01/01/1942,8.93,10.10
01/02/1942,8.65,9.68
01/03/1942,8.18,9.00
01/04/1942,7.84,8.54
01/05/1942,7.93,8.51
